order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,33,6,-1,99999,-1,-1,-3,-1,1,60
1,1,1,166,6,-1,99999,-1,-1,-3,-1,1,60
2,1,1,104,7,-1,99999,-1,-1,-3,-1,1,60
3,1,1,41,8,-1,99999,-1,-1,-3,-1,1,60
4,2,1,0,2,-1,99999,-1,-1,-3,-1,1,120
5,3,1,428,6,-1,99999,-1,-1,-3,-1,1,120
6,4,1,0,2,-1,99999,-1,-1,-3,-1,1,120
7,4,1,33,12,-1,99999,-1,-1,-3,-1,1,120
8,5,1,0,10,-1,99999,-1,-1,-3,-1,1,120
9,5,1,21,6,-1,99999,-1,-1,-3,-1,1,120
10,6,1,23,6,-1,99999,-1,-1,-3,-1,1,120
11,6,1,133,6,-1,99999,-1,-1,-3,-1,1,120
12,7,1,0,8,-1,99999,-1,-1,-3,-1,1,120
13,8,1,43,8,-1,99999,-1,-1,-3,-1,1,120
14,9,1,207,2,-1,99999,-1,-1,-3,-1,1,120
15,9,1,158,8,-1,99999,-1,-1,-3,-1,1,120
16,9,1,74,10,-1,99999,-1,-1,-3,-1,1,120
17,9,1,40,10,-1,99999,-1,-1,-3,-1,1,120
18,9,1,410,1,-1,99999,-1,-1,-3,-1,1,120
19,9,1,89,4,-1,99999,-1,-1,-3,-1,1,120
20,9,1,2,10,-1,99999,-1,-1,-3,-1,1,120
21,10,1,0,7,-1,99999,-1,-1,-3,-1,1,180
22,11,1,48,2,-1,99999,-1,-1,-3,-1,1,180
23,11,1,147,6,-1,99999,-1,-1,-3,-1,1,180
24,12,1,42,8,-1,99999,-1,-1,-3,-1,1,180
25,12,1,49,8,-1,99999,-1,-1,-3,-1,1,180
26,12,1,63,6,-1,99999,-1,-1,-3,-1,1,180
27,13,1,107,8,-1,99999,-1,-1,-3,-1,1,180
28,13,1,9,8,-1,99999,-1,-1,-3,-1,1,180
29,13,1,40,6,-1,99999,-1,-1,-3,-1,1,180
30,14,1,29,12,-1,99999,-1,-1,-3,-1,1,180
31,15,1,1,9,-1,99999,-1,-1,-3,-1,1,180
32,16,1,245,10,-1,99999,-1,-1,-3,-1,1,180
33,17,1,94,9,-1,99999,-1,-1,-3,-1,1,180
34,18,1,4,4,-1,99999,-1,-1,-3,-1,1,240
35,18,1,289,5,-1,99999,-1,-1,-3,-1,1,240
36,19,1,482,9,-1,99999,-1,-1,-3,-1,1,240
37,19,1,125,4,-1,99999,-1,-1,-3,-1,1,240
38,19,1,4,2,-1,99999,-1,-1,-3,-1,1,240
39,20,1,38,2,-1,99999,-1,-1,-3,-1,1,240
40,21,1,22,8,-1,99999,-1,-1,-3,-1,1,240
41,22,1,21,8,-1,99999,-1,-1,-3,-1,1,240
42,23,1,57,8,-1,99999,-1,-1,-3,-1,1,240
43,24,1,109,6,-1,99999,-1,-1,-3,-1,1,240
44,24,1,37,5,-1,99999,-1,-1,-3,-1,1,240
45,24,1,30,1,-1,99999,-1,-1,-3,-1,1,240
46,24,1,16,2,-1,99999,-1,-1,-3,-1,1,240
47,24,1,20,8,-1,99999,-1,-1,-3,-1,1,240
48,25,1,124,5,-1,99999,-1,-1,-3,-1,1,240
49,26,1,1,10,-1,99999,-1,-1,-3,-1,1,240
50,27,1,345,4,-1,99999,-1,-1,-3,-1,1,300
51,28,1,363,9,-1,99999,-1,-1,-3,-1,1,300
